epoch,train_loss,mean_m,median_m,p90_m,p95_m,max_m
1,1.120513984798587,0.4292564392089844,0.3585784137248993,0.8554384708404541,1.006116509437561,1.343368411064148
2,0.6533988616751425,0.2852390706539154,0.2830671966075897,0.47011974453926086,0.5346506237983704,0.6554514765739441
3,0.672645863472847,0.2757635712623596,0.2664773762226105,0.45263662934303284,0.48003146052360535,0.5383831262588501
4,0.6040868705463932,0.43341416120529175,0.3663054406642914,0.7866037487983704,0.8496168851852417,1.1925379037857056
5,0.5987075711147953,0.2557150721549988,0.25377753376960754,0.4530631899833679,0.47872161865234375,0.5649007558822632
6,0.5170315553653939,0.28585344552993774,0.26996034383773804,0.4648430049419403,0.5035422444343567,0.5601664781570435
7,0.49606523859159873,0.32038557529449463,0.3218216001987457,0.538797914981842,0.5857899188995361,0.8069756627082825
8,0.4438520899939232,0.252302348613739,0.24756810069084167,0.43624168634414673,0.4878647029399872,0.5647375583648682
9,0.45422062488810533,0.1757134646177292,0.17163287103176117,0.2766847014427185,0.2953818142414093,0.33315545320510864
10,0.3952016753051411,0.28094759583473206,0.27793070673942566,0.4606076180934906,0.5146509408950806,0.9324706792831421
11,0.3818056885236948,0.3068093955516815,0.2793619930744171,0.48697468638420105,0.5176605582237244,0.6415517926216125
12,0.3749826286743127,0.1440257877111435,0.11797919124364853,0.27107685804367065,0.3787693679332733,0.4344010651111603
13,0.3687979504602099,0.16117092967033386,0.14951370656490326,0.24877634644508362,0.27296605706214905,0.3728266656398773
14,0.3559566112966416,0.16023866832256317,0.14458444714546204,0.2944730818271637,0.323116660118103,0.3793204426765442
15,0.3547632014637763,0.2654651701450348,0.2630217373371124,0.41668304800987244,0.43070054054260254,0.4894585609436035
16,0.35688688204094515,0.21425779163837433,0.18156684935092926,0.4098646938800812,0.4424603581428528,0.5037922263145447
17,0.34500197269631633,0.19496241211891174,0.177373468875885,0.3027936518192291,0.3539409339427948,0.48102471232414246
18,0.331965240534432,0.253960520029068,0.226361483335495,0.41690513491630554,0.47312068939208984,0.7315768599510193
19,0.3304067304250942,0.1815258413553238,0.17967630922794342,0.3265012204647064,0.376939594745636,0.4302138686180115
20,0.320487028772726,0.20306441187858582,0.19039258360862732,0.38276204466819763,0.4290282130241394,0.5074689388275146
21,0.3290926926903658,0.2083589732646942,0.185304194688797,0.37248513102531433,0.40935978293418884,0.5096821188926697
22,0.3099416971545259,0.13062173128128052,0.11555182933807373,0.23542988300323486,0.2598762512207031,0.28382182121276855
23,0.3061881241921262,0.20270007848739624,0.2056463062763214,0.2892085313796997,0.3049992024898529,0.632244884967804
24,0.3169634721902641,0.12027516216039658,0.11106740683317184,0.2160089910030365,0.24980291724205017,0.35660165548324585
25,0.31259002257950963,0.13410279154777527,0.11791414767503738,0.24045760929584503,0.2854757010936737,0.4772547781467438
26,0.3044375923928346,0.18385323882102966,0.16550599038600922,0.31574714183807373,0.3644443154335022,0.4243098497390747
27,0.3069120848437646,0.11649178713560104,0.10465526580810547,0.19711507856845856,0.23208287358283997,0.341732919216156
28,0.29725298046654586,0.21197251975536346,0.22468136250972748,0.30379122495651245,0.35322266817092896,0.3668234050273895
29,0.29336685027498627,0.19349193572998047,0.17329880595207214,0.3698136508464813,0.3918072581291199,0.46346572041511536
30,0.29025998519917584,0.19099807739257812,0.17008955776691437,0.3718220889568329,0.38286706805229187,0.4104754328727722
31,0.2990282540099813,0.1753702461719513,0.15537799894809723,0.3129933178424835,0.3299800157546997,0.4031039774417877
32,0.2910760050251412,0.11302381008863449,0.09973936527967453,0.17644619941711426,0.21112127602100372,0.34613460302352905
33,0.2744359198098348,0.13900765776634216,0.13539783656597137,0.2556365728378296,0.3007325828075409,0.3182639181613922
34,0.2778596182482846,0.20091277360916138,0.2006138116121292,0.3233644366264343,0.34382590651512146,0.3825124502182007
35,0.27544197414148214,0.2470373660326004,0.26120367646217346,0.3526815176010132,0.38542428612709045,0.47014909982681274
36,0.2692935857358775,0.15394261479377747,0.14417247474193573,0.2606251835823059,0.28145694732666016,0.31519120931625366
37,0.2741707723265029,0.21150481700897217,0.1838720589876175,0.3279591202735901,0.3574144244194031,0.7132990956306458
38,0.2710619094672177,0.12685133516788483,0.11199687421321869,0.22364754974842072,0.308742493391037,0.37918102741241455
39,0.2713803999272581,0.14307935535907745,0.13535353541374207,0.23246727883815765,0.25893083214759827,0.35387712717056274
40,0.2617430174706262,0.1140010803937912,0.11277920752763748,0.19748345017433167,0.20582862198352814,0.23926502466201782
41,0.2688090441845619,0.15009257197380066,0.14497113227844238,0.24333785474300385,0.2750629484653473,0.32803499698638916
42,0.26129366539389975,0.12439129501581192,0.11069419234991074,0.21290406584739685,0.246456116437912,0.34202325344085693
43,0.26759550679791744,0.18498845398426056,0.18277281522750854,0.2785438001155853,0.2948642373085022,0.3554535210132599
44,0.2718963141759624,0.1634189784526825,0.1526620090007782,0.25577157735824585,0.2960320711135864,0.3635200560092926
45,0.26031469674786634,0.28124135732650757,0.30194637179374695,0.43253424763679504,0.4700048863887787,0.5330414175987244
46,0.25277949511388126,0.1100432500243187,0.08793608844280243,0.22232668101787567,0.23408237099647522,0.2705487012863159
47,0.25194277872684206,0.17273317277431488,0.18033592402935028,0.28225699067115784,0.34874477982521057,0.4012404978275299
48,0.25611562116026615,0.10458080470561981,0.1043555736541748,0.16071422398090363,0.18129608035087585,0.21358756721019745
49,0.2521175591837782,0.11076252907514572,0.08002714812755585,0.2425488829612732,0.26822999119758606,0.3151669502258301
50,0.2518514081318786,0.16947978734970093,0.16075079143047333,0.29382047057151794,0.33432912826538086,0.4608571529388428
51,0.2394490789559338,0.16264113783836365,0.15850156545639038,0.2715936601161957,0.2985176146030426,0.3930852711200714
52,0.24696886604759508,0.10389535874128342,0.09160707890987396,0.17751814424991608,0.19728271663188934,0.23149621486663818
53,0.24134751627715612,0.10339761525392532,0.10598716139793396,0.15794937312602997,0.16582703590393066,0.22081802785396576
54,0.24844454799953158,0.1128738597035408,0.10740894079208374,0.2010744959115982,0.21382230520248413,0.27922433614730835
55,0.24221902337173923,0.11935924738645554,0.10619107633829117,0.21059267222881317,0.27292996644973755,0.32840725779533386
56,0.24831577555648113,0.11499665677547455,0.10220994800329208,0.21592755615711212,0.23933430016040802,0.32252275943756104
57,0.2380888761964234,0.09074530750513077,0.07724440097808838,0.1635274440050125,0.18242405354976654,0.21617896854877472
58,0.24076130530925619,0.11795197427272797,0.09947457164525986,0.2386828362941742,0.2766455411911011,0.3119312822818756
59,0.23385999274800431,0.09676345437765121,0.09099633246660233,0.15613208711147308,0.17655979096889496,0.23069997131824493
60,0.23722305944082486,0.1934482902288437,0.1652131974697113,0.3608958423137665,0.37046018242836,0.4132588803768158
61,0.23768071967221874,0.11345835030078888,0.09797888994216919,0.18742717802524567,0.277754545211792,0.29721856117248535
62,0.235759387794579,0.11383245140314102,0.10897032171487808,0.19604024291038513,0.2161950320005417,0.42776593565940857
63,0.23883959022780465,0.0857606902718544,0.07717420160770416,0.14046911895275116,0.15222817659378052,0.17245127260684967
64,0.22836706657200706,0.1189974844455719,0.11559001356363297,0.19607225060462952,0.22577455639839172,0.2617517411708832
65,0.2337910873117445,0.1440127044916153,0.13250309228897095,0.2593747675418854,0.2902262806892395,0.319304883480072
66,0.23520418900605702,0.11869446933269501,0.08070292323827744,0.3023912012577057,0.4148312509059906,0.4823288321495056
67,0.23059022583809602,0.23633606731891632,0.19962631165981293,0.3926139175891876,0.43784299492836,0.4763299524784088
68,0.22777295194839847,0.18651121854782104,0.1757304072380066,0.2953585386276245,0.3081439137458801,0.4029773771762848
69,0.2159700414959812,0.08444565534591675,0.07645063102245331,0.14562387764453888,0.1616581529378891,0.24749670922756195
70,0.22358671640329172,0.13854943215847015,0.11895231902599335,0.24702849984169006,0.2791750431060791,0.31329765915870667
71,0.22731912399697532,0.07808775454759598,0.08056353777647018,0.13228467106819153,0.1560279130935669,0.18170380592346191
72,0.22056614576282838,0.11900357156991959,0.11528453975915909,0.19797320663928986,0.21946284174919128,0.3050861060619354
73,0.22679508668362042,0.11310030519962311,0.10432812571525574,0.20672762393951416,0.22318656742572784,0.2697221040725708
74,0.22441506201995026,0.1017356887459755,0.08821595460176468,0.17333632707595825,0.20528322458267212,0.26875388622283936
75,0.21449994426587213,0.0827401876449585,0.06985925883054733,0.15914355218410492,0.18927544355392456,0.2216334491968155
76,0.21862792220215305,0.23720136284828186,0.22511136531829834,0.4040871262550354,0.47583919763565063,0.5742992758750916
77,0.21297933944559747,0.1450127214193344,0.1310538798570633,0.24461477994918823,0.28170081973075867,0.3373889923095703
78,0.21746622979169347,0.0902547612786293,0.07884100824594498,0.16969376802444458,0.2017943561077118,0.24658852815628052
79,0.2167400805890669,0.07604959607124329,0.0744447261095047,0.1372227519750595,0.15792180597782135,0.22258450090885162
80,0.21787530042308173,0.14294378459453583,0.13935044407844543,0.24421179294586182,0.274759441614151,0.2928086519241333
81,0.21410695411874064,0.21112164855003357,0.22867165505886078,0.3180990219116211,0.3244320750236511,0.3387635052204132
82,0.21126693198153154,0.10122308135032654,0.08707593381404877,0.20141184329986572,0.2210303246974945,0.2516522705554962
